n_estimators,learning_rate,max_depth,reg_alpha,reg_lambda,objective,tree_method,enable_categorical,RMSE
200,0.01,3,0,0,reg:squarederror,hist,True,156297.58639305522
200,0.01,3,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,0,1,reg:squarederror,hist,True,157200.24825470147
200,0.01,3,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,0,2,reg:squarederror,hist,True,157869.1972700388
200,0.01,3,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,0,3,reg:squarederror,hist,True,159004.19813502464
200,0.01,3,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,0,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,0,4,reg:squarederror,hist,True,160135.47429267832
200,0.01,3,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,1,0,reg:squarederror,hist,True,156297.58769494927
200,0.01,3,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,1,1,reg:squarederror,hist,True,157200.2618372116
200,0.01,3,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,1,2,reg:squarederror,hist,True,157869.2036218663
200,0.01,3,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,1,3,reg:squarederror,hist,True,159004.19821857987
200,0.01,3,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,1,4,reg:squarederror,hist,True,160135.47690999295
200,0.01,3,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,2,0,reg:squarederror,hist,True,156297.58825495068
200,0.01,3,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,2,1,reg:squarederror,hist,True,157200.26188962572
200,0.01,3,2,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,2,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,2,2,reg:squarederror,hist,True,157869.20388706855
200,0.01,3,2,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,2,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,2,3,reg:squarederror,hist,True,159004.20047307864
200,0.01,3,2,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,2,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,3,2,4,reg:squarederror,hist,True,160135.4769891063
200,0.01,3,2,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,3,2,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,0,0,reg:squarederror,hist,True,133386.6910717908
200,0.01,4,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,0,1,reg:squarederror,hist,True,135033.47377079987
200,0.01,4,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,0,2,reg:squarederror,hist,True,136973.25203054489
200,0.01,4,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,0,3,reg:squarederror,hist,True,139132.78051209587
200,0.01,4,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,0,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,0,4,reg:squarederror,hist,True,140954.71262306644
200,0.01,4,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,1,0,reg:squarederror,hist,True,133387.00065241737
200,0.01,4,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,1,1,reg:squarederror,hist,True,135033.4783914601
200,0.01,4,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,1,2,reg:squarederror,hist,True,136973.27732426496
200,0.01,4,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,1,3,reg:squarederror,hist,True,139132.78508654144
200,0.01,4,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,1,4,reg:squarederror,hist,True,140954.71168064137
200,0.01,4,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,2,0,reg:squarederror,hist,True,133386.69502908507
200,0.01,4,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,2,1,reg:squarederror,hist,True,135033.47896336828
200,0.01,4,2,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,2,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,2,2,reg:squarederror,hist,True,136973.27841593674
200,0.01,4,2,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,2,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,2,3,reg:squarederror,hist,True,139132.78948934673
200,0.01,4,2,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,2,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,4,2,4,reg:squarederror,hist,True,140954.71254994374
200,0.01,4,2,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,4,2,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,0,0,reg:squarederror,hist,True,121012.8239036228
200,0.01,5,0,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,0,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,0,1,reg:squarederror,hist,True,123295.24774700114
200,0.01,5,0,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,0,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,0,2,reg:squarederror,hist,True,125763.03473134626
200,0.01,5,0,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,0,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,0,3,reg:squarederror,hist,True,128611.79689231995
200,0.01,5,0,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,0,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,0,4,reg:squarederror,hist,True,130967.45247858073
200,0.01,5,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,1,0,reg:squarederror,hist,True,121091.77403129228
200,0.01,5,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,1,1,reg:squarederror,hist,True,123295.25104574084
200,0.01,5,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,1,2,reg:squarederror,hist,True,125760.70171483091
200,0.01,5,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,1,3,reg:squarederror,hist,True,128611.80347023481
200,0.01,5,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,1,4,reg:squarederror,hist,True,130967.45616412947
200,0.01,5,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,2,0,reg:squarederror,hist,True,121011.7637617858
200,0.01,5,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.01,5,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.01,5,2,1,reg:squarederror,hist,True,123295.25843901242
