n_estimators,learning_rate,max_depth,reg_alpha,reg_lambda,objective,tree_method,enable_categorical,RMSE
500,0.01,6,0,0,reg:squarederror,hist,True,72546.99605527481
500,0.01,6,0,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,0,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,0,1,reg:squarederror,hist,True,72014.80888924503
500,0.01,6,0,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,0,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,0,2,reg:squarederror,hist,True,72202.07098782342
500,0.01,6,0,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,0,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,0,3,reg:squarederror,hist,True,73343.79107848155
500,0.01,6,0,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,0,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,0,4,reg:squarederror,hist,True,74182.27168940828
500,0.01,6,0,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,0,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,1,0,reg:squarederror,hist,True,72624.34520204719
500,0.01,6,1,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,1,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,1,1,reg:squarederror,hist,True,72015.16713622872
500,0.01,6,1,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,1,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,1,2,reg:squarederror,hist,True,72202.0709552495
500,0.01,6,1,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,1,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,1,3,reg:squarederror,hist,True,73410.83679386575
500,0.01,6,1,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,1,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,1,4,reg:squarederror,hist,True,74182.2795266974
500,0.01,6,1,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.01,6,1,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.01,6,2,0,reg:squarederror,hist,True,72624.35118901814
500,0.01,6,2,0,reg:pseudohubererror,hist,True,4689940556.248134
